מספר נייר,שם עברי, שווי שוק עכשווי , שווי שוק בשקלים ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי להון העצמי,שעור רווח נקי להון העצמי באחוזים,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן,הון למאזן באחוזים, רווח תפעולי , רווח לפני מס , רווח נקי , רווח נקי בשקלים , דיבידנד ,תשואת דיבידנד,תשואת דיבידנד באחוזים,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
1133875,שפיר הנדסה," 6,825 "," 6,824,540,000 ",49.1,1.34,2.25,5082000,2.74,2.74%,9.21," 357,305,612 ",תעשיה," 15,114,000 "," 3,742,000 ",24.7585,24.76%," 468,000 "," 207,000 "," 164,000 "," 164,000,000 "," 70,000 ",0.75,0.75%,-7.85%,-13.82%,-15.70%,-23.21%,-24.51%,6398,24.61%,1850,2091,3.68%,-8.27%,2039
1081074,איסתא," 1,286 "," 1,286,260,000 ",10.91,3.41,0.91,376791,31.3,31.30%,13.56," 17,184,498 ",מסחר ושרותים," 3,675,562 "," 1,527,251 ",41.5515,41.55%," 51,102 "," 156,280 "," 131,824 "," 131,824,000 "," 20,000 ",0.66,0.66%,-6.09%,-9.69%,26.30%,3.27%,9.68%,691,20.58%,7127,8175,5.02%,-8.44%,7970
434019,ישראל קנדה," 4,206 "," 4,206,260,000 ",33.84,6.67,1.89,630990,19.7,19.70%,23.61," 322,565,629 ",נדלן ובניה," 8,628,209 "," 3,054,464 ",35.4009,35.40%," 148,985 "," 188,271 "," 162,007 "," 162,007,000 "," 56,000 ",0.55,0.55%,-8.30%,-8.80%,36.33%,79.99%,-1.76%,5040,36.48%,1250,1494,4.32%,-12.72%,1422
1134402,אורמת טכנו," 16,829 "," 16,828,779,000 ",33.79,5.21,1.92,868358,15.43,15.43%,19.84," 56,095,918 ",טכנולוגיה," 5,516,844 "," 2,486,631 ",45.0734,45.07%," 172,268 "," 136,384 "," 133,957 "," 133,957,000 ",,0.51,0.51%,13.07%,20.62%,11.59%,-10.97%,25.88%,17522,22.25%,24412.27,27500,22.89%,9.09%,24242.46
431015,אייאיאס," 1,160 "," 1,159,870,000 ",16.69,16.64,0.76,69714,99.7,99.70%,78.52," 5,739,099 ",נדלן ובניה," 1,828,161 "," 1,519,391 ",83.1103,83.11%," 54,742 "," 83,305 "," 69,505 "," 69,505,000 "," 7,905 ",0.47,0.47%,-1.46%,-13.13%,-1.58%,-26.63%,-4.50%,1067,19.45%,19980,22200,1.15%,-8.96%,20510
1081686,סאמיט," 3,184 "," 3,183,860,000 ",-17.22,3.36,0.7,948695,-19.48,-19.48%,-10.28," 73,922,823 ",נדלן ובניה," 10,808,729 "," 5,174,217 ",47.8707,47.87%," -97,517 "," -241,153 "," -240,813 "," -240,813,000 "," 12,500 ",0.41,0.41%,-4.82%,-9.49%,-7.54%,-7.64%,-14.37%,1726,34.81%,4081,4893,5.54%,-11.98%,4525
1184902,אקרו," 2,235 "," 2,235,430,000 ",86.1,2.56,1.23,872224,2.98,2.98%,10.05," 61,160,841 ",נדלן ובניה," 6,213,737 "," 2,135,926 ",34.3743,34.37%," 87,659 "," 57,157 "," 42,423 "," 42,423,000 "," 25,000 ",0.36,0.36%,-9.03%,-19.97%,-3.06%,37.62%,%,1674,34.98%,3512,4300,4.07%,-15.00%,4018
1082379,טאואר," 15,585 "," 15,584,930,000 ",8.52,3.01,1.7,1394307,35.27,35.27%,12.73," 111,003,755 ",טכנולוגיה," 2,976,915 "," 2,462,569 ",82.7222,82.72%," 177,485 "," 526,402 "," 491,726 "," 491,726,000 ",,,0.00%,13.27%,18.38%,35.58%,-5.26%,57.95%,25080,27.15%,12070,14030,17.32%,0.93%,12210
368019,אלקטריאון," 2,564 "," 2,564,190,000 ",-32.68,88.21,22.34,29069,-269.94,-269.94%,-276.31," 12,612,824 ",טכנולוגיה," 140,461 "," 114,775 ",81.7131,81.71%," -80,322 "," -78,468 "," -78,468 "," -78,468,000 ",,,0.00%,10.39%,63.47%,154.36%,173.45%,-22.69%,26854,87.82%,17660,23340,15.12%,-12.90%,18290
1095819,פריון נטוורק," 2,193 "," 2,193,200,000 ",5.6,0.78,0.8,755825,13.94,13.94%,15.8," 47,991,344 ",טכנולוגיה," 1,006,451 "," 734,694 ",72.9985,73.00%," 119,435 "," 123,750 "," 105,396 "," 105,396,000 ",,,0.00%,-1.78%,-43.16%,-56.92%,-59.69%,-10.46%,10478,32.51%,4203,5225,8.73%,-12.54%,4709
