מספר נייר,שם עברי, שווי שוק עכשווי ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי רוב,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן, רווח תפעולי , רווח לפני מס , רווח נקי , דיבידנד ,תשואת דיבידנד,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
1084557,נובה," 22,658 ",43.99,11.55,7.7,527527,26.26,25.35," 29,044,620 ",טכנולוגיה," 1,189,572 "," 791,781 ",66.5602," 133,746 "," 157,454 "," 138,543 ",,,26.57%,27.34%,62.02%,88.92%,137.46%,34022,21.39%,63200,80900,-5.06%,-25.83%,63220
1084698,חילן," 4,784 ",21.41,1.79,4.68,2678668,8.34,11.21," 22,932,677 ",טכנולוגיה," 2,308,144 "," 1,038,573 ",44.996," 300,179 "," 290,209 "," 224,450 "," 22,543 ",1.32,-2.30%,2.14%,10.87%,27.48%,36.25%,13239,17.39%,20300,22450,2.76%,-7.08%,21350
1087022,פוקס," 3,828 ",21.03,0.7,2.44,5476316,3.32,7.84," 13,809,019 ",מסחר ושרותים," 7,909,198 "," 2,236,199 ",28.2734," 429,167 "," 340,498 "," 252,950 "," 317,264 ",2.19,-3.86%,-8.73%,15.76%,1.91%,-20.16%,12093,27.52%,27000,32420,5.19%,-12.40%,29280
1087659,סאפיינס," 6,913 ",28.34,3.55,4.19,524112,12.52,15.36," 55,749,263 ",טכנולוגיה," 683,799 "," 443,502 ",64.8585," 80,497 "," 81,036 "," 65,608 ",,1.73,9.00%,12.56%,31.11%,36.09%,37.54%,8916,34.46%,11000,13000,14.91%,-2.77%,11450
1087824,אל על," 2,061 ",2.43,0.2,-7.86,2741103,8.33,13.82," 411,394,957 ",מסחר ושרותים," 3,695,700 "," -91,200 ",-2.4677," 378,950 "," 250,678 "," 231,581 ",,,-0.62%,-6.57%,75.31%,26.89%,33.29%,37696,36.60%,490.1,554,2.22%,-9.57%,504
1090315,דמרי," 5,331 ",15.87,3.36,2.41,1585380,21.19,33.66," 19,176,091 ",נדלן ובניה," 6,392,663 "," 2,207,344 ",34.5293," 533,660 "," 425,518 "," 335,922 "," 92,000 ",1.81,-3.13%,0.97%,17.87%,35.60%,57.83%,4378,26.81%,27100,31000,2.58%,-10.32%,29420
1091065,מיטרוניקס," 1,995 ",19.69,1.1,2.57,1821102,5.56,11.07," 109,741,762 ",טכנולוגיה," 2,411,844 "," 853,314 ",35.3801," 201,684 "," 143,330 "," 114,817 "," 135,000 ",1.1,-39.72%,-54.69%,-49.44%,-58.10%,-69.77%,12980,122.37%,1705,3390,11.96%,-43.69%,3167
1094044,אלקטרה נדלן," 2,043 ",-5.96,-7.52,1.68,-73063,,," 60,084,208 ",נדלן ובניה," 780,308 "," 332,474 ",42.608," -81,840 "," -114,604 "," -91,680 ",,1.8,-7.03%,-11.62%,-11.26%,-14.06%,-3.83%,2873,23.48%,3358,3748,1.28%,-9.26%,3658
1095264,קמטק," 16,975 ",52.97,13.43,10.29,339928,25.35,21.31," 44,263,483 ",טכנולוגיה," 816,306 "," 443,578 ",54.3397," 72,455 "," 95,173 "," 86,186 ",,1.59,34.43%,34.89%,59.87%,258.25%,213.73%,29136,43.44%,29740,40530,28.95%,-5.38%,30030
1095819,פריון נטוורק," 2,193 ",5.6,0.78,0.8,755825,13.94,15.8," 47,991,344 ",טכנולוגיה," 1,006,451 "," 734,694 ",72.9985," 119,435 "," 123,750 "," 105,396 ",,,-1.78%,-43.16%,-56.92%,-59.69%,-10.46%,10478,32.51%,4203,5225,8.73%,-12.54%,4709
